epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3862,0.64226,6.01972,0.97767,0.73116,0.82609,0.86024,0.67097,0.65312,6.86064,0.93079,0.00024,0.00024,0.00024
2,36.7664,0.70562,2.0405,0.93157,1,0.82556,0.90783,0.77414,0.61805,4.59332,0.90948,0.000487625,0.000487625,0.000487625
3,48.2603,0.60809,1.09186,0.89086,0.88977,0.82609,0.88472,0.7267,0.71366,5.39181,0.93104,0.00072238,0.00072238,0.00072238
4,58.6024,0.7004,0.92677,0.94451,0.22775,0.73913,0.30954,0.24187,0.77943,6.85998,0.98003,0.000944265,0.000944265,0.000944265
5,69.1436,0.71922,0.90753,0.96917,0.66235,0.82609,0.84937,0.70142,0.66012,3.57426,0.97423,0.00115328,0.00115328,0.00115328
6,78.7885,0.68529,0.71544,0.9501,0.01677,0.65217,0.0173,0.0145,0.69116,69.8646,0.96233,0.00134943,0.00134943,0.00134943
7,88.8203,0.74234,0.80773,0.95937,0.68761,0.52174,0.55024,0.40371,1.14035,3.15917,1.15822,0.0015327,0.0015327,0.0015327
8,99.186,0.72409,0.75676,0.93907,0.75598,0.04348,0.04534,0.03623,3.15864,12.8853,5.23861,0.0016535,0.0016535,0.0016535
9,108.577,0.75389,0.89029,0.97719,0.0041,0.3913,0.00283,0.00182,1.52107,181.122,1.81362,0.001604,0.001604,0.001604
10,119.197,0.77491,0.69922,1.03108,0.23155,0.3913,0.17542,0.14017,0.83149,6.25032,1.11115,0.0015545,0.0015545,0.0015545
11,128.58,0.70389,0.65499,0.96927,0.94976,0.8222,0.92659,0.75938,0.69544,1.60926,1.04083,0.001505,0.001505,0.001505
12,138.855,0.68205,0.5697,0.9179,0.68652,0.78261,0.75429,0.61715,0.70773,1.08889,0.93809,0.0014555,0.0014555,0.0014555
13,147.567,0.65974,0.56457,0.91078,0.91615,0.65217,0.70195,0.5875,0.76856,1.02243,1.02043,0.001406,0.001406,0.001406
14,156.449,0.66768,0.53312,0.90173,0.98835,0.69565,0.73067,0.61091,0.86276,0.85042,1.25494,0.0013565,0.0013565,0.0013565
15,166.557,0.63203,0.51567,0.92459,0.8555,0.82609,0.86694,0.72407,0.66377,0.81205,0.92516,0.001307,0.001307,0.001307
16,176.298,0.63388,0.53324,0.92093,0.99333,0.91304,0.92247,0.76161,0.63951,0.5558,0.91128,0.0012575,0.0012575,0.0012575
17,185.8,0.66723,0.59149,0.98668,0.97858,0.91304,0.94494,0.80503,0.61106,0.42392,0.91159,0.001208,0.001208,0.001208
18,194.002,0.60853,0.48356,0.90793,0.99426,0.91304,0.95364,0.80068,0.5549,0.35482,0.87393,0.0011585,0.0011585,0.0011585
19,203.153,0.57514,0.47359,0.88357,0.96197,0.82609,0.92212,0.77797,0.6052,0.53042,0.87068,0.001109,0.001109,0.001109
20,213.157,0.59718,0.48621,0.88965,1,0.94889,0.95666,0.80966,0.61709,0.38812,0.88949,0.0010595,0.0010595,0.0010595
21,219.647,0.6049,0.47155,0.90712,0.9807,0.91304,0.95296,0.80787,0.54721,0.38353,0.87807,0.00101,0.00101,0.00101
22,230.329,0.70256,0.54451,0.99734,0.91268,0.95652,0.95314,0.81224,0.58518,0.44686,0.85905,0.0009605,0.0009605,0.0009605
23,240.69,0.66834,0.53848,1.04315,0.91156,0.95652,0.95038,0.81933,0.50393,0.43732,0.84684,0.000911,0.000911,0.000911
24,249.891,0.52653,0.41832,0.8685,0.95618,0.94901,0.94613,0.83057,0.5998,0.51821,0.91485,0.0008615,0.0008615,0.0008615
25,260.012,0.50957,0.42247,0.88165,0.91186,0.95652,0.95277,0.826,0.61875,0.42837,0.94629,0.000812,0.000812,0.000812
26,269.141,0.50824,0.40484,0.87076,0.90955,0.95652,0.95237,0.83491,0.56252,0.40585,0.92393,0.0007625,0.0007625,0.0007625
27,279.381,0.52983,0.41259,0.87311,0.96944,0.91304,0.95528,0.84557,0.51608,0.39267,0.90364,0.000713,0.000713,0.000713
28,288.2,0.48774,0.38403,0.87451,0.95542,0.95652,0.95778,0.84767,0.51271,0.3234,0.87375,0.0006635,0.0006635,0.0006635
29,296.551,0.46759,0.34172,0.85272,0.95425,0.95652,0.95518,0.85889,0.47983,0.3337,0.86022,0.000614,0.000614,0.000614
30,305.598,0.46812,0.37127,0.85601,0.95273,0.95652,0.95673,0.85638,0.43335,0.29363,0.85013,0.0005645,0.0005645,0.0005645
31,324.764,0.47077,0.33413,0.8563,1,0.95147,0.96075,0.85887,0.4758,0.30362,0.85078,0.000515,0.000515,0.000515
32,337.718,0.46823,0.32889,0.8567,0.99486,0.95652,0.96233,0.89767,0.44537,0.30204,0.83953,0.0004655,0.0004655,0.0004655
33,348.606,0.42487,0.31696,0.85779,1,0.95204,0.9633,0.87598,0.48497,0.29811,0.84993,0.000416,0.000416,0.000416
34,357.613,0.43348,0.34436,0.84385,1,0.95543,0.9633,0.88377,0.46142,0.30698,0.83067,0.0003665,0.0003665,0.0003665
35,366.744,0.39965,0.2983,0.82446,0.99743,0.95652,0.96316,0.88459,0.45945,0.28419,0.82859,0.000317,0.000317,0.000317
36,375.6,0.3883,0.28617,0.81968,0.99748,0.95652,0.966,0.89371,0.4733,0.2787,0.83046,0.0002675,0.0002675,0.0002675
37,386.264,0.4137,0.28303,0.81669,0.99768,0.95652,0.96765,0.87643,0.48305,0.27489,0.84082,0.000218,0.000218,0.000218
38,396.573,0.37219,0.2763,0.82794,0.99769,0.95652,0.96765,0.89435,0.47196,0.27188,0.83819,0.0001685,0.0001685,0.0001685
39,404.82,0.3553,0.26931,0.79598,0.99728,0.95652,0.96832,0.90532,0.45405,0.26245,0.83525,0.000119,0.000119,0.000119
40,414.273,0.35898,0.25109,0.81293,0.99707,0.95652,0.96765,0.89002,0.44755,0.26257,0.83805,6.95e-05,6.95e-05,6.95e-05
